我的账户	101000
怎么输入收款银行	您好，输入收款银行可以手工选择，也支持输入行名和行号进行模糊搜索，输入一个汉字和一个数字之后自动触发搜索。
如果转账超过限额怎么办	您好，如果转账超过限额交易金额字段旁边会显示限额修改链接；如果您转账超过限额，可以通过此链接进行限额修改。
设置特殊限额后最高可转金额是多少	您好，如果您设置了特殊限额，则以特殊限额剩余的可用限额为最高可转金额。
付款用途可以修改吗	您好，付款用途默认网银转账，可以修改。
付款账号默认什么账号，可以修改吗	您好，付款账号默认选中您使用频率最高的账号，也可以选择其他账号。
用行内/跨行转账亲情号付款有什么限额	您好，如果您添加了亲情账号，则付款账号中显示亲情账号，使用亲情账号直接付款时，限额会累加到您的转账限额中。
录入页面增加账号可用余额最低是多少	您好，录入页面增加账号可用余额不能小于转账金额和手续费的判断，如果小于则不允许提交。
交易成功后短信通知收款人吗	您好，交易成功后短信通知收款人。如果收款人中保存了手机号，则选择收款人后自动反显。如果是新收款人，并且短信通知收款人，交易成功后，手机号连同收款人信息一并保存到常用收款人中。
什么是网上银行支付	您好，网银支付是电子支付的一种形式，它是通过第三方提供的与银行之间的支付接口进行的即时支付方式。您可以使用网银支付功能进行方便、快捷的网上购物。
网上银行支付的最高限额	您好，网上银行支付限额是默认我行限额，您可以到设置里自行降低限额。
签约网上银行支付的认证方式是什么	您好，网上银行支付签约时，需要验证认证方式。认证方式为：一代U-key：U-key+PIN码 ；二代U-key：U-key+PIN码；令牌：令牌挑战码+开机密码。
如何解约网上银行支付	您好，解约网上银行操作支付如下：1.在网银支付设置中点击解约按钮；2.校验解约卡的取款密码；3.取款密码校验成功从而点击提交，解约成功；4.取款密码校验失败提示相关错误信息；
解约网上银行支付的业务规则是什么	您好，解约网上银行支付的业务规则:1.已签约的账号才可以做解约网银支付功能；2.签约的银行卡是正常状态。
如何查询网上银行支付明细	您好，查询网上银行支付明细可以通过签约模块中的网银支付模块，点击右上角的明细查询即可查询到网上银行支付明细。
如何修改网上银行支付限额	您好，如果想要修改网上银行支付限额可以登录网上银行，进入顶部导航设置模块中，修改网上银行支付限额。
修改网上银行支付限额的业务规则	您好，网上银行支付限额修改的业务规则:有以下几点：1.银行卡是正常状态，不能是冻结、挂失等不正常状态；2.单笔限额金额应小于等于日累计限额金额；3.二次校验单笔限额金额和日累计限额；4.单笔限额和日累计限额文本框要显示上次修改的金额；5.修改需要验证用户认证方式。认证方式为;：一代U-key：U-key+PIN码 ；二代U-key：U-key+PIN码；令牌：令牌挑战码+开机密码。
网上银行如何监测安全	您好，网上银行监测安全需要登录网上银行，进入到设置模块，可以检测您的网银安全情况。
安全监测的功能	您好，网上银行安全监测功能可通过安全监测的方式，提示用户目前的网银安全等级，使用户有针对性的提高网银安全性。
安全监测的业务规则	您好，网上银行安全监测的业务规则：1.可以通过该入口进入修改对应功能的模块。2.登录密码三个月未修改功能，用户可以自行选择忽略设置。忽略后，可恢复提醒，且星级提升。
网上银行安全监测的范围	您好，网上银行安全监测范围包括：预留信息设置，证书更新，登录密码3个月未修改，预留手机设置，网银系统短信通知设置。总评级为五颗星
网上银行如何设置预留信息	您好，在网上银行设置预留信息需要登录网上银行，进入设置模块中的安全中心，可以修改预留信息，在首次登录（注册）时，可以根据提示设置预留信息。
网上银行预留信息的业务规则	您好，网上银行预留信息的业务规则：1.预留信息是在登录网银后，页面会显示的个人独有信息。 2.预留信息可以是数字、字母或汉字，长度在30个字符以内。
网上银行如何更新证书	我行网银证书的有效期为两年。在到期前一个月或到期后六个月内，请您将UKey与电脑连接，然后登录您的个人网上银行，点击“证书管理”-“更新证书”依次进行证书更新、证书下载。若您的Ukey证书到期六个月后需要本人携带有效身份证、银行卡、UK至柜面处理。
网上银行更新证书的业务规则	您好，网上银行更新证书的业务规则：1.证书更新在证书即将到期前一个月内可做，系统会在用户登录后给予提示。2.证书更新后自动联动下载。3.必须是网银登录用户本人的UKEY才能下载成功。4.根据不同厂商UKEY的性质，更新后UKEY中的证书可以有两个，也可以只有一个（替换掉旧的）。5.更新证书有效期时间以更新当日开始为准。
网上银行安全等级有什么作用	您好，网上银行的安全等级可以展示客户账户目前的安全等级，如果安全等级不满格，则显示提升的链接，点击提升链接，可以进入安全等级提升的页面。
网上银行如何个性化设置	您好，网银的个性化设置首先登录网银进入设置模块，进入个人设置的页面，可以设置个人头像，设置常用功能和常用工具。
